hotel_id,instagram_handle,hotel_name,root_domain,website,followers_count,er_median,posts_last_90d,ownership,hotels_sharing_domain,accreditations,sources,country,region
65,claridgeshotel,Claridge's,maybourne.com,https://www.maybourne.com/en/hotels/claridges,532938,0.260,43,group,4,Forbes Five-Star; Condé Nast Gold List; World's 50 Best Hotels; Michelin Three Keys,"Forbes, Gold List, World's 50 Best",United Kingdom,Europe
53,castelfalfi,Castelfalfi,castelfalfi.com,https://www.castelfalfi.com/,293521,0.269,24,independent,1,Forbes Five-Star; Condé Nast Gold List,"Forbes, Gold List",Italy,Europe
311,hotel_santa_caterina,Santa Caterina,hotelsantacaterina.it,https://www.hotelsantacaterina.it/en/,213187,0.277,44,group,1,Condé Nast Gold List,Gold List,Italy,Europe
284,raffleslondon.theowo,Raffles London at The OWO,raffles.com,https://www.raffles.com/london/,83131,0.300,27,group,6,Forbes Five-Star; World's 50 Best Hotels; Michelin Three Keys,"Forbes, World's 50 Best",United Kingdom,Europe
108,fsmadrid,Four Seasons Hotel Madrid,fourseasons.com,https://www.fourseasons.com/madrid/,113442,0.313,30,group,44,Forbes Five-Star,Forbes,Spain,Europe
28,borgosantopietro,Borgo Santo Pietro,borgosantopietro.com,https://borgosantopietro.com/,596946,0.317,34,independent,1,,Manual add,Italy,Europe
200,lesirenuse,Le Sirenuse,sirenuse.it,https://sirenuse.it/en/,539192,0.319,24,group,1,Forbes Five-Star,Forbes,Italy,Europe
51,belmondhotelcaruso,"Caruso, A Belmond Hotel, Amalfi Coast",belmond.com,https://www.belmond.com/hotels/europe/italy/amalfi-coast/belmond-hotel-caruso/,196813,0.321,27,group,9,Forbes Five-Star,Forbes,Italy,Europe
275,passalacqualakecomo,Passalacqua,passalacqua.it,https://www.passalacqua.it/en/,293584,0.339,16,group,1,Condé Nast Gold List; World's 50 Best Hotels,"Gold List, World's 50 Best",Italy,Europe
133,thegleneagleshotel,Gleneagles,gleneagles.com,https://gleneagles.com/,189311,0.344,32,independent,1,Michelin Three Keys,Manual add,United Kingdom,Europe
59,chevalblancparis,Cheval Blanc Paris,chevalblanc.com,https://www.chevalblanc.com/en/maison/paris/,226055,0.348,30,group,3,Forbes Five-Star; World's 50 Best Hotels,"Forbes, World's 50 Best",France,Europe
99,fsgeorgevparis,"Four Seasons Hotel George V, Paris",fourseasons.com,https://www.fourseasons.com/paris/,461244,0.353,38,group,44,Forbes Five-Star,Forbes,France,Europe
289,ritzparis,Ritz Paris,ritzparis.com,https://www.ritzparis.com/,990462,0.386,31,independent,1,Forbes Five-Star,Forbes,France,Europe
155,hotelducapedenroc,Hotel du Cap-Eden-Roc,oetkerhotels.com,https://www.oetkerhotels.com/hotels/hotel-du-cap-eden-roc/,381257,0.397,39,group,3,Forbes Five-Star,Forbes,France,Europe
372,themaybourneriviera,The Maybourne Riviera,maybourneriviera.com,https://www.maybourneriviera.com/,166520,0.410,34,independent,1,Forbes Five-Star,Forbes,France,Europe
353,thefifearms,The Fife Arms,thefifearms.com,https://thefifearms.com/,114459,0.418,29,independent,1,Condé Nast Gold List; Michelin Two Keys,Gold List,United Kingdom,Europe
163,plaza_athenee,Hotel Plaza Athénée Paris,dorchestercollection.com,https://www.dorchestercollection.com/paris/hotel-plaza-athenee,1159822,0.423,20,group,9,Forbes Five-Star,Forbes,France,Europe
17,ashfordcastle,Ashford Castle,ashfordcastle.com,https://ashfordcastle.com,147341,0.427,41,independent,1,Forbes Five-Star; Michelin Two Keys,Forbes,Ireland,Europe
6,airellesgordes,"Airelles Gordes, La Bastide",airelles.com,https://airelles.com/en/destination/gordes-hotel,139165,0.430,24,group,2,Forbes Five-Star,Forbes,France,Europe
