"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/seasonal-guide-request/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/seasonal-guide-request/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='loadingModal']/div/div/div/div[1]/img","Content","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/main/div[3]/div/div[@id='loadingModal']/div/div/div/div[1]/img","Content","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[2]","Navigation","HTML","","",""
"Image","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","Sowerbys Holiday Cottages","25","Absolute","//body/header/nav/div/a/img[1]","Navigation","HTML","","",""
