"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view/","200","Norfolk Holiday Cottage to rent in Wells-next-the-sea - Channel View","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-3-bedrooms/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - The Dairy Barn 3 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-west/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Flagstaff West","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-garden-house/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Flagstaff Garden House","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house-2-bedrooms/","200","Norfolk Holiday Cottage to rent in Docking - Eton House 2 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/harpley/","200","Holiday cottages to rent in Harpley, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/avocet-cottage/","200","Norfolk Holiday Cottage to rent in Brancaster Staithe - Avocet Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/egmere/","200","Holiday cottages to rent in Egmere, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/north-creake/","200","Holiday cottages to rent in North Creake, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/sedgeford/","200","Holiday cottages to rent in Sedgeford, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/wighton/","200","Holiday cottages to rent in Wighton, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-market/","200","Holiday cottages to rent in Burnham Market, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/walsingham/","200","Holiday cottages to rent in Walsingham, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-overy-town/","200","Holiday cottages to rent in Burnham Overy Town, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-overy-staithe/","200","Holiday cottages to rent in Burnham Overy Staithe, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/heacham/","200","Holiday cottages to rent in Heacham, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/ringstead/","200","Holiday cottages to rent in Ringstead, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/great-snoring/","200","Holiday cottages to rent in Great Snoring, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/hunstanton/","200","Holiday cottages to rent in Hunstanton, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/brancaster/","200","Holiday cottages to rent in Brancaster, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/brancaster-staithe/","200","Holiday cottages to rent in Brancaster Staithe, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/old-hunstanton/","200","Holiday cottages to rent in Old Hunstanton, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/thornham/","200","Holiday cottages to rent in Thornham, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-deepdale/","200","Holiday cottages to rent in Burnham Deepdale, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/blakeney/","200","Holiday cottages to rent in Blakeney, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/wells-next-the-sea/","200","Holiday cottages to rent in Wells-next-the-sea, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/warham/","200","Holiday cottages to rent in Warham, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/titchwell/","200","Holiday cottages to rent in Titchwell, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-norton/","200","Holiday cottages to rent in Burnham Norton, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/houghton-estate/","200","Holiday cottages to rent in Houghton Estate, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/stanhoe/","200","Holiday cottages to rent in Stanhoe, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/holme-next-the-sea/","200","Holiday cottages to rent in Holme-next-the-Sea, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/docking/","200","Holiday cottages to rent in Docking, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/fring/","200","Holiday cottages to rent in Fring, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/stiffkey/","200","Holiday cottages to rent in Stiffkey, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/binham/","200","Holiday cottages to rent in Binham, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/south-creake/","200","Holiday cottages to rent in South Creake, Norfolk - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/high-barn/","200","Norfolk Holiday Cottage to rent in Binham - High Barn","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sanderling/","200","Norfolk Holiday Cottage to rent in Burnham Market - Sanderling","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-gables/","200","Norfolk Holiday Cottage to rent in Thornham - The Gables","Indexable",""
