"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/slick.min.js","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","text/html; charset=UTF-8","200","OK","1.1","Non-Indexable","Canonicalised","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/slick-theme.css?ver=1674500144","text/css","200","OK","1.1","Indexable","","","",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/instagram-feed/js/sbi-scripts.min.js?ver=6.10.1","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/hot-tub.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/wifi.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/sea-view.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/park.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/bed.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/electric.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
