"Site Crawled","https://www.sowerbysholidaycottages.co.uk/"
"Start Date","2026-05-08"
"Start Time","14:17:02"
"Last Modified Date","2026-05-08"
"Last Modified Time","14:18:42"
"Elapsed","00:01:40"
"Report Date","2026-05-08"
"Report Time","14:30:55"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Non-200 Response","0","0.00%","355","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","355","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Contains Structured Data","0","0.00%","353","Internal HTML pages with 2xx response"
"Missing","0","0.00%","353","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","353","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","353","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","353","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","353","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","353","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","353","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","353","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","353","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","353","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","355","100.00%","355","Internal HTML/XML pages"
