"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","text/html; charset=UTF-8","200","OK","Indexable","","a964c7d420c76d523aa382a4a823c5d1","73","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","text/html; charset=UTF-8","200","OK","Indexable","","b40b852a8863aff462a34db61638c092","93","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","text/html; charset=UTF-8","200","OK","Indexable","","b8eae4928c4c28670c716192d5057aa6","76","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","text/html; charset=UTF-8","200","OK","Indexable","","3c53923e1e8219a5b10fc48b902af59f","82","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","1a0c1567847de6ff18cb5f8fa1f329a0","81","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","text/html; charset=UTF-8","200","OK","Indexable","","1fbdee55d1751e12712cbeaceac06461","77","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/sea-view.svg","image/svg+xml","200","OK","Indexable","","","81","","https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/sea-view.svg"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","1c151d820647c3d129112c6f48b92083","82","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/park.svg","image/svg+xml","200","OK","Indexable","","","77","","https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/park.svg"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","40490791f12e62c48db53ef58b1c7f49","81","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/"
