"Type","Source","Destination","Anchor Text","Alt Text","Path Type"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-king-william-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-boathouse/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-crarves/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-paddock/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beehive-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mandalay/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/michaelmas/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-east/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mill-view/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns-2-bedrooms/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-railway-cottages/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/western-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hill-top-docking/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage-2-bedrooms/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-loft/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/4-hare-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/bridge-farm-barn/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-3-bedrooms/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-west/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-garden-house/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house-2-bedrooms/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/harpley/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/avocet-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/egmere/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
