"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/avocet-cottage/","Indexable","","2","","33","7","0","1.980","41","32","0","34","34","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/egmere/","Indexable","","2","","7","3","0","0.850","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/north-creake/","Indexable","","2","","10","6","0","1.700","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/sedgeford/","Indexable","","2","","7","3","0","0.850","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/wighton/","Indexable","","2","","7","3","0","0.850","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-market/","Indexable","","2","","57","53","0","15.010","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/walsingham/","Indexable","","2","","7","3","0","0.850","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-overy-town/","Indexable","","2","","8","4","0","1.130","39","31","0","3","3","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-overy-staithe/","Indexable","","2","","28","24","0","6.800","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/heacham/","Indexable","","2","","17","13","0","3.680","39","31","0","6","6","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/ringstead/","Indexable","","2","","9","5","0","1.420","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/great-snoring/","Indexable","","2","","8","4","0","1.130","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/hunstanton/","Indexable","","2","","8","4","0","1.130","39","31","0","3","3","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/brancaster/","Indexable","","2","","25","21","0","5.950","39","31","0","3","3","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/brancaster-staithe/","Indexable","","2","","22","18","0","5.100","39","31","0","3","3","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/old-hunstanton/","Indexable","","2","","19","15","0","4.250","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/thornham/","Indexable","","2","","19","15","0","4.250","39","31","0","3","3","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-deepdale/","Indexable","","2","","10","6","0","1.700","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/blakeney/","Indexable","","2","","7","3","0","0.850","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/wells-next-the-sea/","Indexable","","2","","40","36","0","10.200","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/warham/","Indexable","","2","","8","4","0","1.130","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/titchwell/","Indexable","","2","","11","7","0","1.980","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-norton/","Indexable","","2","","9","5","0","1.420","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/houghton-estate/","Indexable","","2","","8","4","0","1.130","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/stanhoe/","Indexable","","2","","15","11","0","3.120","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/holme-next-the-sea/","Indexable","","2","","23","19","0","5.380","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/docking/","Indexable","","2","","27","23","0","6.520","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/fring/","Indexable","","2","","7","3","0","0.850","39","31","0","5","5","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/stiffkey/","Indexable","","2","","7","3","0","0.850","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/binham/","Indexable","","2","","12","8","0","2.270","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/south-creake/","Indexable","","2","","15","11","0","3.120","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/high-barn/","Indexable","","2","","26","6","0","1.700","41","32","0","34","34","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sanderling/","Indexable","","2","","29","7","0","1.980","41","32","0","34","34","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-gables/","Indexable","","2","","26","6","0","1.700","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/orchard-house-3-bedrooms/","Indexable","","2","","26","6","0","1.700","41","32","0","35","35","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/heron-cottage/","Indexable","","2","","23","5","0","1.420","41","32","0","34","34","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washington-beach-house/","Indexable","","2","","39","9","0","2.550","41","32","0","45","45","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sea-lavender-house/","Indexable","","2","","16","4","0","1.130","41","32","0","25","25","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill-cottage/","Indexable","","2","","26","6","0","1.700","41","32","0","18","18","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/marshview-cottage/","Indexable","","2","","32","8","0","2.270","41","32","0","41","41","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/cherry-house/","Indexable","","2","","16","4","0","1.130","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washington-beach-house-with-lodge/","Indexable","","2","","46","10","0","2.830","41","32","0","55","55","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-meadows/","Indexable","","2","","26","6","0","1.700","41","32","0","37","37","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hillcrest-barn/","Indexable","","2","","26","6","0","1.700","41","32","0","28","28","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-cartshed-6-marshland-barns/","Indexable","","2","","36","8","0","2.270","41","32","0","37","37","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill-and-cottage/","Indexable","","2","","33","7","0","1.980","41","32","0","35","35","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/burnham-loft/","Indexable","","2","","19","5","0","1.420","41","32","0","29","29","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violets-cottage/","Indexable","","2","","19","5","0","1.420","41","32","0","25","25","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/easterly/","Indexable","","2","","26","6","0","1.700","41","32","0","27","27","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/fayette/","Indexable","","2","","29","7","0","1.980","41","32","0","28","28","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-manor-farm-barns/","Indexable","","2","","16","4","0","1.130","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/school-pastures-2-bedrooms/","Indexable","","2","","29","7","0","1.980","41","32","0","23","23","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/lark-house/","Indexable","","2","","16","4","0","1.130","41","32","0","25","25","0"
